isi,block,trial,isi_ms,isi_frames,theta,log_cnt,resp,rt,stim_duration,blank_duration,cnt,correct
32,9,1257,620,62,-45,-1.8546873026985,1,0.538704499999767,0.05112360000021,0.626218499999595,0.0139737412527265,0
21,9,1258,400,40,45,-1.8546873026985,1,0.424975199999608,0.0424002999998265,0.396237200000542,0.0139737412527265,1
7,9,1259,120,12,45,-1.8546873026985,1,0.511109699999906,0.044457500000135,0.116304600000149,0.0139737412527265,1
49,9,1260,960,96,45,-1.8546873026985,-1,0.563558400000147,0.0446299999994153,0.959706399999959,0.0139737412527265,0
9,9,1261,160,16,-45,-1.8546873026985,-1,0.651065099999869,0.0498741999999766,0.162934400000267,0.0139737412527265,1
28,9,1262,540,54,-45,-1.8546873026985,1,1.09996500000034,0.0427442000000156,0.537232900000163,0.0139737412527265,0
46,9,1263,900,90,-45,-1.8546873026985,1,0.756207399999766,0.0512097000000722,0.905006400000275,0.0139737412527265,0
27,9,1264,520,52,-45,-1.8546873026985,1,0.604616099999475,0.0443758999999773,0.519220600000153,0.0139737412527265,0
37,9,1265,720,72,45,-1.8546873026985,1,0.501236099999915,0.0452078999996957,0.717370700000174,0.0139737412527265,1
16,9,1266,300,30,-45,-1.8546873026985,-1,0.500337499999659,0.0475421999999526,0.29962439999963,0.0139737412527265,1
24,9,1267,460,46,-45,-1.8546873026985,-1,0.481937700000344,0.049514199999976,0.460675199999969,0.0139737412527265,1
41,9,1268,800,80,45,-1.8546873026985,1,0.488950599999953,0.0496483999995689,0.805429699999877,0.0139737412527265,1
23,9,1269,440,44,45,-1.8546873026985,1,0.497454599999401,0.0418468975467476,0.437029402452936,0.0139737412527265,1
36,9,1270,700,70,-45,-1.8546873026985,-1,0.737366999999722,0.0496997000000192,0.700574699999379,0.0139737412527265,1
19,9,1271,360,36,-45,-1.8546873026985,1,0.688975699999901,0.042094299999917,0.356569200000195,0.0139737412527265,0
2,9,1272,20,2,-45,-1.8546873026985,1,0.676615399999719,0.0437304000006407,0.015537499999482,0.0139737412527265,0
1,9,1273,0,0,-45,-1.8546873026985,1,0.588311100000283,0.0400536999995893,0.0116415000002235,0.0139737412527265,0
38,9,1274,740,74,45,-1.8546873026985,-1,0.990624099999877,0.0464818999998897,0.73870369999986,0.0139737412527265,0
42,9,1275,820,82,-45,-1.8546873026985,-1,7.76659000000018,0.0506206366035258,0.822270900000149,0.0139737412527265,1
2,9,1276,20,2,-45,-1.8546873026985,1,0.534985000000233,0.0416591999992306,0.015681300000324,0.0139737412527265,0
30,9,1277,580,58,45,-1.8546873026985,1,0.741644200000337,0.0498010999999678,0.584796500000266,0.0139737412527265,1
18,9,1278,340,34,45,-1.8546873026985,-1,0.468380100000104,0.0407226000006631,0.338111099999878,0.0139737412527265,0
29,9,1279,560,56,-45,-1.8546873026985,-1,0.489787200000137,0.0411693000005471,0.556677499999751,0.0139737412527265,1
41,9,1280,800,80,-45,-1.8546873026985,-1,0.377456700000039,0.0413279000003968,0.797124599999734,0.0139737412527265,1
44,9,1281,860,86,45,-1.8546873026985,1,0.49418439999954,0.0408171961298649,0.856863703869749,0.0139737412527265,1
33,9,1282,640,64,45,-1.8546873026985,-1,0.535303300000123,0.0437458999995215,0.636600400000134,0.0139737412527265,0
6,9,1283,100,10,-45,-1.8546873026985,1,0.561213599999974,0.0400736999999936,0.118919799999276,0.0139737412527265,0
32,9,1284,620,62,-45,-1.8546873026985,-1,0.483027700000093,0.0486755000001722,0.62047849999999,0.0139737412527265,1
8,9,1285,140,14,45,-1.8546873026985,1,0.428109700000277,0.0497632000005979,0.14593319999949,0.0139737412527265,1
45,9,1286,880,88,45,-1.8546873026985,1,0.589405499999884,0.0493465000008655,0.880903999999646,0.0139737412527265,1
24,9,1287,460,46,45,-1.8546873026985,1,0.53590019999956,0.0465559999993275,0.457577199999832,0.0139737412527265,1
37,9,1288,720,72,45,-1.8546873026985,-1,0.613657699999749,0.0457145999998829,0.716389700000036,0.0139737412527265,0
